"Model","Quartile","Beta","Lower","Upper","P","P_trend"
"Unadjusted","Q1 (Ref)",0,NA,NA,NA,"0.001279"
"","Q2",-0.050724826554447,-0.148159698240566,0.046710045131672,0.307611556589993,""
"","Q3",-0.104174878047736,-0.201609749733851,-0.0067400063616216,0.0361839195547899,""
"","Q4",-0.15103378638967,-0.248468658075787,-0.0535989147035521,0.00239583499592128,""
"Adjusted: Demographics","Q1 (Ref)",0,NA,NA,NA,"0.01725"
"","Q2",0.0489496443804395,-0.0480999554727344,0.145999244233613,0.322937693016897,""
"","Q3",0.0702300340208392,-0.0280918983213638,0.168551966363042,0.161602406411849,""
"","Q4",0.122830459814246,0.0218610833547788,0.223799836273713,0.0171622239983549,""
"Fully Adjusted","Q1 (Ref)",0,NA,NA,NA,"0.05617"
"","Q2",0.0442540489145993,-0.0516365835234686,0.140144681352667,0.365766473747846,""
"","Q3",0.0508372361928051,-0.0473250126401773,0.148999485025787,0.310146227918379,""
"","Q4",0.105430681178819,0.00166981822750424,0.209191544130133,0.0464998266559732,""
