"","level","No","Yes","P"
"n","","   3327","    558",""
"Age..median..IQR..","","  57.00 [39.00, 67.00]","  64.00 [57.00, 71.00]","<0.001"
"Gender....","Female","   1894 (56.9) ","    282 (50.5) ","0.006"
"X","Male","   1433 (43.1) ","    276 (49.5) ",""
"Race....","Mexican American","    193 ( 6.5) ","     46 ( 9.2) ","<0.001"
"X.1","Other Hispanic","    300 (10.1) ","     64 (12.9) ",""
"X.2","Non-Hispanic White","   2159 (72.5) ","    304 (61.0) ",""
"X.3","Non-Hispanic Black","    327 (11.0) ","     84 (16.9) ",""
"Education....","< 9th grade","     90 ( 2.7) ","     39 ( 7.0) ","<0.001"
"X.4","9-11th grade","    178 ( 5.4) ","     77 (13.8) ",""
"X.5","High school/GED","    617 (18.5) ","    138 (24.7) ",""
"X.6","Some college","   1006 (30.2) ","    183 (32.8) ",""
"X.7","College grad+","   1436 (43.2) ","    121 (21.7) ",""
"BMI..median..IQR..","","  28.00 [24.40, 32.70]","  32.60 [27.90, 37.35]","<0.001"
"Income_PIR..median..IQR..","","   3.22 [1.65, 5.00]","   2.21 [1.26, 4.01]","<0.001"
"Smoking....","No","   2012 (60.5) ","    268 (48.0) ","<0.001"
"X.8","Yes","   1315 (39.5) ","    290 (52.0) ",""
"Energy_kcal..median..IQR..","","1867.00 [1399.00, 2458.00]","1773.00 [1247.25, 2357.75]","0.002"
"Sugar_g..median..IQR..","","  82.46 [50.90, 125.46]","  74.00 [45.72, 108.14]","<0.001"
"Water_g..median..IQR..","","2756.62 [2002.84, 3665.29]","2631.43 [1900.07, 3559.98]","0.050"
"HbA1c..median..IQR..","","   5.40 [5.20, 5.70]","   7.00 [6.30, 8.10]","<0.001"
